iter	Logloss
0	0.6442396572
1	0.6056613439
2	0.5695091623
3	0.5324426958
4	0.5030026391
5	0.4718241932
6	0.4431541341
7	0.4163386555
8	0.3932010876
9	0.3688177082
10	0.3489403564
11	0.3317590976
12	0.3165902086
13	0.3026966897
14	0.2869372919
15	0.2709949083
16	0.2580002918
17	0.2457321582
18	0.2331164419
19	0.2222535973
20	0.212327782
21	0.2058799188
22	0.1979373598
23	0.1895927825
24	0.1815321339
25	0.1740326134
26	0.167601174
27	0.16247577
28	0.1563628162
29	0.1516365722
30	0.1468018629
31	0.1423162643
32	0.1378295933
33	0.1336968248
34	0.1293539377
35	0.125553114
36	0.123155137
37	0.1196884203
38	0.1172297266
39	0.1145094773
40	0.1124788857
41	0.1100315948
42	0.1079688763
43	0.1054107029
44	0.1028870883
45	0.1010475747
46	0.1001853779
47	0.09837727827
48	0.09641887344
49	0.09460066772
50	0.09297908333
51	0.09189920762
52	0.09022509585
53	0.08882870074
54	0.08784759371
55	0.0868142819
56	0.08538528269
57	0.08432635532
58	0.08320635307
59	0.08182070942
60	0.08120653277
61	0.08041656517
62	0.07924663912
63	0.07824006743
64	0.07731991385
65	0.07644288248
66	0.07590283809
67	0.07494479891
68	0.07413642109
69	0.07320503397
70	0.07241057233
71	0.0717458763
72	0.07127909432
73	0.0706854109
74	0.07004982539
75	0.06950391475
76	0.06892186307
77	0.06856187481
78	0.06802544831
79	0.06726949872
80	0.06677552681
81	0.06638128335
82	0.06579142115
83	0.06526890592
84	0.0648935723
85	0.06475113661
86	0.0641413184
87	0.06386498853
88	0.06338051159
89	0.06304932333
90	0.06285896723
91	0.06256336517
92	0.06196799561
93	0.0618266827
94	0.06144627086
95	0.06124158217
96	0.06109576327
97	0.0608514055
98	0.06052920946
99	0.06047963672
100	0.06025356877
101	0.06012604359
102	0.05968042994
103	0.05922640467
104	0.05906314564
105	0.05888970894
106	0.05873048934
107	0.05831246802
108	0.05824377085
109	0.05801638208
110	0.05768241858
111	0.05735801338
112	0.05716301066
113	0.05694169344
114	0.05681743888
115	0.05670494507
116	0.05632222009
117	0.05609698697
118	0.05598868439
119	0.05588982965
120	0.05570646571
121	0.05553563503
122	0.05541742655
123	0.05537454952
124	0.05500242888
125	0.05480894626
126	0.05473901349
127	0.05442912128
128	0.05415745021
129	0.05393549865
130	0.05384618277
131	0.05362870359
132	0.05346796456
133	0.05337136354
134	0.05323529774
135	0.05303392971
136	0.05290967035
137	0.05285081631
138	0.05274719509
139	0.05259139668
140	0.05246552909
141	0.05230536542
142	0.0521029232
143	0.05190737495
144	0.05179007848
145	0.05161462754
146	0.05140567781
147	0.05127437379
148	0.05093388592
149	0.05083980916
150	0.05072512876
151	0.05054877318
152	0.05040891368
153	0.05033438601
154	0.05019387475
155	0.05009150969
156	0.05003473814
157	0.04997977107
158	0.04975326705
159	0.04963808524
160	0.04942728971
161	0.04936069827
162	0.04926564839
163	0.04917272412
164	0.04906352283
165	0.04870206072
166	0.04859726478
167	0.04850218329
168	0.04845500847
169	0.04837626589
170	0.04824382803
171	0.04809855342
172	0.04791793993
173	0.04782418106
174	0.04770931669
175	0.04754317854
176	0.04748501759
177	0.0474288606
178	0.04715464383
179	0.04707658271
180	0.04702848438
181	0.0469010318
182	0.04684217698
183	0.04669099134
184	0.04649836309
185	0.04638640857
186	0.04626775263
187	0.04617749201
188	0.04610637212
189	0.04604860848
190	0.04594368397
191	0.04580433594
192	0.04574624636
193	0.04561187881
194	0.04547756968
195	0.04541578358
196	0.04527827486
197	0.04519070449
198	0.04503680225
199	0.04497272769
200	0.04492973773
201	0.0448090346
