iter	Passed	Remaining
0	4	4315
1	7	3901
2	10	3484
3	13	3266
4	15	3118
5	18	3038
6	21	3009
7	23	2961
8	26	2903
9	28	2859
10	31	2820
11	33	2790
12	36	2755
13	38	2740
14	41	2733
15	44	2720
16	46	2709
17	49	2706
18	52	2702
19	55	2697
20	57	2689
21	60	2685
22	62	2673
23	65	2667
24	68	2665
25	71	2663
26	73	2657
27	76	2647
28	78	2644
29	81	2634
30	84	2626
31	86	2618
32	89	2609
33	91	2603
34	94	2596
35	96	2584
36	98	2575
37	101	2566
38	103	2559
39	107	2569
40	109	2566
41	112	2563
42	115	2560
43	117	2556
44	120	2551
45	122	2546
46	125	2542
47	128	2543
48	130	2536
49	133	2534
50	136	2533
51	138	2531
52	141	2525
53	143	2518
54	146	2513
55	148	2511
56	151	2504
57	154	2502
58	156	2499
59	159	2494
60	161	2489
61	164	2483
62	166	2479
63	169	2473
64	173	2490
65	176	2497
66	179	2493
67	181	2488
68	184	2487
69	186	2481
70	189	2476
71	191	2472
72	194	2467
73	196	2464
74	199	2459
75	201	2454
76	204	2450
77	206	2446
78	209	2441
79	211	2435
80	214	2430
81	216	2426
82	219	2421
83	222	2422
84	224	2417
85	227	2415
86	229	2409
87	231	2403
88	234	2396
89	236	2390
90	238	2385
91	241	2379
92	243	2373
93	245	2367
94	247	2361
95	250	2357
96	252	2350
97	254	2344
98	257	2339
99	259	2333
100	261	2328
101	263	2324
102	266	2318
103	268	2314
104	270	2309
105	273	2304
106	275	2300
107	277	2295
108	280	2289
109	282	2285
110	284	2281
111	287	2277
112	289	2272
113	291	2268
114	294	2268
115	297	2263
116	299	2261
117	302	2257
118	304	2253
119	306	2249
120	309	2244
121	311	2240
122	313	2236
123	315	2232
124	318	2227
125	320	2223
126	322	2219
127	325	2216
128	327	2212
129	330	2208
130	332	2204
131	334	2200
132	336	2195
133	339	2191
134	341	2188
135	343	2183
136	345	2179
137	348	2177
138	350	2173
139	353	2169
140	355	2166
141	357	2162
142	360	2159
143	362	2154
144	364	2152
145	367	2148
146	369	2145
147	372	2145
148	374	2141
149	377	2137
150	379	2133
151	381	2129
152	383	2125
153	386	2121
154	388	2120
155	391	2118
156	393	2114
157	396	2110
158	398	2106
159	400	2103
160	403	2100
161	405	2096
162	407	2094
163	410	2090
164	412	2086
165	414	2083
166	416	2079
167	419	2075
168	421	2073
169	423	2069
170	426	2066
171	428	2062
172	430	2059
173	432	2055
174	435	2052
175	437	2049
176	439	2045
177	442	2042
178	444	2039
179	446	2035
180	449	2032
181	451	2028
182	453	2024
183	455	2021
184	457	2017
185	460	2014
186	462	2010
187	464	2006
188	467	2004
189	469	2002
190	471	1998
191	474	1995
192	476	1992
193	478	1988
194	480	1985
195	483	1981
196	485	1978
197	487	1975
198	489	1971
199	492	1968
200	494	1965
201	496	1962
202	498	1959
203	501	1955
204	503	1952
205	505	1949
206	508	1947
207	510	1944
208	513	1943
209	516	1942
210	519	1941
211	522	1940
212	524	1939
213	527	1939
214	531	1939
215	534	1938
216	536	1935
217	538	1932
218	540	1929
219	543	1928
220	546	1926
221	548	1923
222	551	1919
223	553	1916
224	555	1913
225	557	1910
226	560	1907
227	562	1903
228	564	1900
229	567	1898
230	569	1895
231	571	1892
232	574	1889
233	576	1886
234	578	1883
235	580	1880
236	583	1877
237	585	1874
238	587	1871
239	590	1869
240	592	1866
241	594	1863
242	597	1860
243	599	1857
244	601	1854
245	604	1851
246	606	1849
247	608	1846
248	611	1843
249	613	1840
250	615	1837
251	617	1834
252	620	1831
253	622	1828
254	624	1825
255	627	1822
256	629	1819
257	631	1817
258	634	1814
259	636	1811
260	638	1808
